mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
170813,1708599600000,4869,ENCE,13,6665,Astralis,9,ENCE,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170811,1708599600000,6665,Astralis,6,4869,ENCE,13,ENCE,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170776,1708533600000,7020,Spirit,13,7175,HEROIC,11,Spirit,Nuke,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170767,1708533600000,7020,Spirit,13,7175,HEROIC,8,Spirit,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170777,1708531200000,12527,Guild Eagles,13,12334,Preasy,9,Guild Eagles,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170768,1708531200000,12334,Preasy,7,12527,Guild Eagles,13,Guild Eagles,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170766,1708531200000,12527,Guild Eagles,6,12334,Preasy,13,Preasy,Inferno,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170765,1708526400000,4869,ENCE,4,9565,Vitality,13,Vitality,Nuke,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170762,1708526400000,9565,Vitality,13,4869,ENCE,6,Vitality,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170764,1708524000000,9928,GamerLegion,13,10503,OG,9,GamerLegion,Mirage,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170761,1708524000000,10503,OG,8,9928,GamerLegion,13,GamerLegion,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170759,1708513200000,11419,ECSTATIC,11,9806,Apeks,13,Apeks,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170756,1708513200000,11419,ECSTATIC,11,9806,Apeks,13,Apeks,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170752,1708513200000,9806,Apeks,10,11419,ECSTATIC,13,ECSTATIC,Inferno,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170757,1708513200000,11811,Monte,8,6665,Astralis,13,Astralis,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170754,1708513200000,6665,Astralis,4,11811,Monte,13,Monte,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170750,1708513200000,11811,Monte,8,6665,Astralis,13,Astralis,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170720,1708446300000,4494,MOUZ,13,7020,Spirit,11,MOUZ,Mirage,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170716,1708446300000,7020,Spirit,10,4494,MOUZ,13,MOUZ,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170713,1708435200000,5752,Cloud9,13,9565,Vitality,5,Cloud9,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170711,1708435200000,5752,Cloud9,8,9565,Vitality,13,Vitality,Inferno,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170707,1708435200000,9565,Vitality,8,5752,Cloud9,13,Cloud9,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170704,1708431300000,6665,Astralis,7,7175,HEROIC,13,HEROIC,Mirage,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170703,1708430400000,9928,GamerLegion,14,4869,ENCE,16,ENCE,Nuke,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170702,1708426800000,11419,ECSTATIC,13,10503,OG,11,ECSTATIC,Inferno,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170701,1708426800000,11811,Monte,5,9806,Apeks,13,Apeks,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170682,1708372200000,7020,Spirit,13,6665,Astralis,11,Spirit,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170681,1708371600000,9565,Vitality,13,7175,HEROIC,3,Vitality,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170680,1708368000000,5752,Cloud9,13,9806,Apeks,10,Cloud9,Mirage,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170679,1708368000000,4494,MOUZ,13,11419,ECSTATIC,8,MOUZ,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170676,1708363800000,12334,Preasy,9,10503,OG,13,OG,Vertigo,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170673,1708360200000,12527,Guild Eagles,6,4869,ENCE,13,ENCE,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170672,1708352400000,12334,Preasy,9,7175,HEROIC,13,HEROIC,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170668,1708346100000,10503,OG,5,9806,Apeks,13,Apeks,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170667,1708344900000,11419,ECSTATIC,13,11811,Monte,9,ECSTATIC,Anubis,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170665,1708343400000,7020,Spirit,13,4869,ENCE,0,Spirit,Overpass,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170663,1708340400000,4494,MOUZ,16,12527,Guild Eagles,14,MOUZ,Ancient,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170662,1708340400000,9565,Vitality,13,9928,GamerLegion,2,Vitality,Nuke,7577,PGL CS2 Major Copenhagen 2024 Europe RMR B
170652,1708284600000,11811,Monte,13,11861,Aurora,9,Monte,Ancient,7683,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier
170645,1708284600000,11811,Monte,6,11861,Aurora,13,Aurora,Nuke,7683,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier
170642,1708284600000,11861,Aurora,10,11811,Monte,13,Monte,Mirage,7683,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier
170574,1708186200000,11251,Eternal Fire,13,12394,BetBoom,1,Eternal Fire,Vertigo,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170571,1708186200000,11251,Eternal Fire,13,12394,BetBoom,7,Eternal Fire,Mirage,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170569,1708183800000,11861,Aurora,6,11811,Monte,13,Monte,Mirage,7683,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier
170565,1708179900000,10567,SAW,13,4991,fnatic,4,SAW,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170562,1708179900000,4991,fnatic,5,10567,SAW,13,SAW,Vertigo,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170558,1708167600000,11883,9 Pandas,9,12586,AMKAL,13,AMKAL,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170555,1708167600000,12586,AMKAL,13,11883,9 Pandas,11,AMKAL,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170553,1708167600000,11883,9 Pandas,13,12586,AMKAL,6,9 Pandas,Inferno,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170526,1708100400000,4608,Natus Vincere,13,12394,BetBoom,7,Natus Vincere,Nuke,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170519,1708100400000,4608,Natus Vincere,8,12394,BetBoom,13,BetBoom,Anubis,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170512,1708100400000,4608,Natus Vincere,13,12394,BetBoom,4,Natus Vincere,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170513,1708092300000,4914,3DMAX,8,11883,9 Pandas,13,9 Pandas,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170509,1708092300000,4914,3DMAX,7,11883,9 Pandas,13,9 Pandas,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
